Date,Precio/Litro,Precio,Tem_prom,Litros
2019-01-01,10.17948718,397,18.9,39
2019-01-02,10.19354839,316,18.9,31
2019-01-03,9.466666667,142,18.9,15
2019-01-04,9.777777778,264,18.9,27
2019-01-05,9.916666667,119,18.9,12
2019-01-06,10.4,52,18.9,5
2019-01-07,9.5,57,18.9,6
2019-01-08,9.875,158,18.9,16
2019-01-09,9.772727273,215,18.9,22
2019-01-10,9.428571429,132,18.9,14
2019-01-11,9.428571429,132,18.9,14
2019-01-12,9.454545455,104,18.9,11
2019-01-13,9.333333333,28,18.9,3
2019-01-14,10.15384615,132,18.9,13
2019-01-15,9.636363636,106,18.9,11
2019-01-16,9.833333333,236,18.9,24
2019-01-17,9.428571429,132,18.9,14
2019-01-18,9.428571429,132,18.9,14
2019-01-19,9.666666667,319,18.9,33
2019-01-20,9.352941176,159,18.9,17
2019-01-21,9.428571429,132,18.9,14
2019-01-22,9.25,629,18.9,68
2019-01-23,9.833333333,118,18.9,12
2019-01-24,9.5,133,18.9,14
2019-01-25,9.5,133,18.9,14
2019-01-26,9.962264151,528,18.9,53
2019-01-27,9.3,186,18.9,20
2019-01-28,10.23076923,133,18.9,13
2019-01-29,9.611111111,173,18.9,18
2019-01-30,9.9375,159,18.9,16
2019-01-31,9.5,133,18.9,14
2019-02-01,10.23076923,133,21.9,13
2019-02-02,9.294117647,158,21.9,17
2019-02-03,9.294117647,158,21.9,17
2019-02-04,9.5,133,21.9,14
2019-02-05,9.724137931,282,21.9,29
2019-02-06,9.6,144,21.9,15
2019-02-07,9.5,133,21.9,14
2019-02-08,9.545454545,105,21.9,11
2019-02-09,9.8125,157,21.9,16
2019-02-10,9.5,133,21.9,14
2019-02-11,8.928571429,375,21.9,42
2019-02-12,9.444444444,85,21.9,9
2019-02-13,9.352941176,159,21.9,17
2019-02-14,8.8,132,21.9,15
2019-02-15,9.631578947,183,21.9,19
2019-02-16,9.5,266,21.9,28
2019-02-17,9.543478261,439,21.9,46
2019-02-18,9.457142857,662,21.9,70
2019-02-19,9.352941176,318,21.9,34
2019-02-20,9.428571429,396,21.9,42
2019-02-21,9.5,133,21.9,14
2019-02-22,9.3,186,21.9,20
2019-02-23,9.446428571,529,21.9,56
2019-02-24,8.8,132,21.9,15
2019-02-25,9.545454545,105,21.9,11
2019-02-26,9.5,133,21.9,14
2019-02-27,9.636363636,212,21.9,22
2019-02-28,10,130,22,13
2019-03-01,9.555555556,258,22,27
2019-03-02,10,130,22,13
2019-03-03,9.428571429,132,22,14
2019-03-04,9.727272727,107,22,11
2019-03-05,9.707317073,398,22,41
2019-03-06,9.428571429,132,22,14
2019-03-07,9.428571429,132,22,14
2019-03-08,9.740740741,263,22,27
2019-03-09,9.636363636,212,22,22
2019-03-10,9.634146341,395,22,41
2019-03-11,9.5,133,22,14
2019-03-12,10,20,22,2
2019-03-13,9.545454545,105,22,11
2019-03-14,9.75,390,22,40
2019-03-15,10.14285714,71,22,7
2019-03-16,9.352941176,159,22,17
2019-03-17,9.545454545,105,22,11
2019-03-18,9.696969697,640,22,66
2019-03-19,9.727272727,107,22,11
2019-03-20,9.5,133,22,14
2019-03-21,9.814814815,265,22,27
2019-03-22,9.875,79,22,8
2019-03-23,9.428571429,132,22,14
2019-03-24,9.814814815,265,22,27
2019-03-25,9.454545455,208,22,22
2019-03-26,9.428571429,264,22,28
2019-03-27,8.96,224,22,25
2019-03-28,9.416666667,113,22,12
2019-03-29,8.8,132,22,15
2019-03-30,8.8,132,22,15
2019-03-31,8.8,132,23.8,15
2019-04-01,8.653846154,225,23.8,26
2019-04-02,9.5,38,23.8,4
2019-04-03,9.209302326,396,23.8,43
2019-04-04,8.866666667,133,23.8,15
2019-04-05,8.866666667,133,23.8,15
2019-04-06,8.866666667,133,23.8,15
2019-04-07,8.833333333,265,23.8,30
2019-04-08,8.653846154,225,23.8,26
2019-04-09,9.75,78,23.8,8
2019-04-10,9.180555556,661,23.8,72
2019-04-11,8.866666667,133,23.8,15
2019-04-12,9.294117647,158,23.8,17
2019-04-13,9.25,185,23.8,20
2019-04-14,9.75,78,23.8,8
2019-04-15,9.384615385,122,23.8,13
2019-04-16,9.357142857,131,23.8,14
2019-04-17,8.53164557,674,23.8,79
2019-04-18,9.444444444,170,23.8,18
2019-04-19,9,27,23.8,3
2019-04-20,8.53164557,674,23.8,79
2019-04-21,8.5,34,23.8,4
2019-04-22,9.166666667,440,23.8,48
2019-04-23,8.125,65,23.8,8
2019-04-24,9.153846154,119,23.8,13
2019-04-25,9.153846154,119,23.8,13
2019-04-26,8.866666667,133,23.8,15
2019-04-27,8.866666667,133,23.8,15
2019-04-28,9.153846154,119,23.8,13
2019-04-29,8.53164557,674,23.8,79
2019-04-30,9.125,146,27.2,16
2019-05-01,9.066666667,136,27.2,15
2019-05-02,9.153846154,119,27.2,13
2019-05-03,9.153846154,119,27.2,13
